Wavenumber,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs
790.6714,0.078344545,0.065147464,0.06873157,-2.09E-15,-2.06E-14,-1.24E-15,0.070119403,0.090652012,0.084291811
791.6356,0.062719529,0.050608808,0.052481182,1.74E-15,1.12E-14,0,0.060003221,0.080157933,0.074022552
792.5999,0.052589455,0.041108537,0.042071802,0.000835589,0.00088927,0.000817477,0.053456231,0.073293525,0.067378557
793.5641,0.046494977,0.035348179,0.036042832,0.002643993,0.002793893,0.002543385,0.049590218,0.069161612,0.063452346
794.5283,0.043330261,0.032333778,0.033244716,0.005247293,0.005482616,0.00495483,0.047734368,0.067060829,0.061539328
795.4926,0.042298142,0.03134371,0.03281193,0.00845755,0.008730559,0.00786178,0.047384741,0.066470519,0.061118207
796.4568,0.042834427,0.03185616,0.034086362,0.012052568,0.012309155,0.01107554,0.048142098,0.066974176,0.061775535
797.421,0.044509984,0.033472272,0.036541682,0.015764243,0.015968049,0.014385161,0.049648029,0.068209503,0.063164585
798.3853,0.046974032,0.035867829,0.039731533,0.019306934,0.019450522,0.017561747,0.051573228,0.069840283,0.064964813
799.3495,0.049928316,0.038757038,0.043315762,0.022403329,0.02253012,0.02039869,0.053627119,0.071572973,0.066904174
800.3137,0.053159772,0.041950841,0.047063109,0.024880521,0.025058396,0.022753771,0.055612344,0.073207358,0.068805272
801.278,0.056545558,0.045336836,0.050868886,0.026700887,0.026988811,0.024568445,0.057444086,0.074653142,0.070588466
802.2422,0.060069978,0.048901566,0.054751443,0.027945352,0.028383634,0.02588717,0.059138351,0.075933499,0.07227848
803.2064,0.063776401,0.052685942,0.058788099,0.028794246,0.029374655,0.026827738,0.060786899,0.0771463,0.073966752
804.1707,0.067722434,0.056744998,0.063063338,0.029422883,0.030114902,0.027504939,0.062479549,0.078408042,0.075746463
805.1349,0.07193513,0.061093519,0.067618682,0.029987349,0.030728202,0.02800808,0.064265292,0.079792206,0.077672016
806.0991,0.076384246,0.065687689,0.072444855,0.03055774,0.03128903,0.028380226,0.066129168,0.081312823,0.079738835
807.0634,0.08099442,0.070461506,0.077483768,0.031159062,0.031827283,0.028658454,0.068023226,0.082933622,0.081900445
808.0276,0.085690611,0.075326871,0.08269146,0.031787067,0.032356385,0.028869322,0.069899441,0.084599536,0.084096037
808.9918,0.090409333,0.080235937,0.088031904,0.032466759,0.032897738,0.029086373,0.071731209,0.086283608,0.086293102
809.9561,0.095122708,0.085156992,0.093492232,0.033230658,0.033483367,0.029406451,0.073546252,0.087977512,0.088478331
810.9203,0.099810314,0.090074563,0.099025458,0.03410458,0.034133056,0.029902154,0.075356701,0.08967462,0.090632815
811.8845,0.104415783,0.094930714,0.104528816,0.035068435,0.034827877,0.030590232,0.07713983,0.091334936,0.09270135
812.8488,0.108818634,0.099602956,0.10980467,0.036034491,0.035487336,0.031387605,0.07881276,0.092858842,0.094572866
813.813,0.112846488,0.103908381,0.114578534,0.036840678,0.035982604,0.03212061,0.080224628,0.094105574,0.096088804
814.7772,0.116274393,0.107615565,0.118554603,0.037311585,0.03615888,0.032578851,0.081193598,0.094895407,0.097073505
815.7415,0.118910631,0.110525363,0.121491666,0.037296845,0.035901708,0.032577924,0.081578577,0.095091462,0.09739844
816.7057,0.120613699,0.112505299,0.123247889,0.036754644,0.03517991,0.032027862,0.081310201,0.094631225,0.09702027
817.6699,0.121329596,0.113505507,0.123810398,0.035737538,0.034040374,0.03096782,0.080402611,0.093534312,0.095978052
818.6342,0.12107555,0.113564878,0.123270551,0.034400794,0.032612789,0.029545137,0.078949502,0.091887412,0.094371941
819.5984,0.119897642,0.112740565,0.121749054,0.032918048,0.031040061,0.027952288,0.077034802,0.089778913,0.092300002
820.5626,0.117848715,0.111095668,0.119367876,0.031449579,0.029445507,0.026377262,0.07472504,0.087269421,0.089822238
821.5269,0.114969736,0.108675131,0.116224163,0.030090523,0.027903619,0.024954541,0.07204794,0.084376691,0.086951519
822.4911,0.111313918,0.105511899,0.112390922,0.028884254,0.026438412,0.023746899,0.06899235,0.081082919,0.083670696
823.4553,0.106962593,0.101663021,0.107963921,0.02783322,0.025056441,0.022772861,0.065574351,0.077374188,0.079966455
824.4196,0.102051701,0.097221854,0.103054639,0.026932348,0.023762139,0.022010894,0.061837186,0.07328316,0.075863881
825.3838,0.096727062,0.092306071,0.097785732,0.026177418,0.022568904,0.021424257,0.057864785,0.068874001,0.071417404
826.348,0.091129365,0.087043325,0.092260408,0.025553339,0.021481169,0.020964521,0.053754725,0.064231538,0.066694007
827.3123,0.085299572,0.08148461,0.086495829,0.024989897,0.020465154,0.020550081,0.049558008,0.05941824,0.061722266
828.2765,0.079203054,0.075612442,0.080428519,0.024390192,0.019440843,0.020070378,0.045271251,0.054446108,0.056485042
829.2407,0.072726437,0.069354761,0.073935554,0.023598835,0.018287413,0.019395687,0.040838737,0.049282598,0.050941084
830.205,0.065768213,0.062641525,0.066927367,0.022475464,0.016890412,0.018418699,0.036204747,0.043891439,0.045061357
831.1692,0.058312759,0.055479455,0.059412194,0.020933207,0.015176189,0.017088036,0.03136784,0.038282768,0.0389003
832.1334,0.050496007,0.048016378,0.05156052,0.018971994,0.013178903,0.015436557,0.026423648,0.032558178,0.03262265
833.0977,0.042610597,0.040519137,0.043684562,0.016694459,0.011013386,0.013573033,0.02156094,0.026897515,0.026487409
834.0619,0.035031025,0.033337396,0.036162097,0.014269274,0.008854376,0.011652013,0.017016946,0.021534474,0.020788179
835.0261,0.028097181,0.026778344,0.029313067,0.011854188,0.006863412,0.009786153,0.012986256,0.016663804,0.015759522
