Wavenumber,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs
763.673,1.91E-01,7.91E-01,2.87E-01,4.73E-02,2.66E-02,2.15E-02,2.66E-01,2.24E-01,3.12E-01
764.637,1.99E-01,8.10E-01,2.98E-01,4.91E-02,2.68E-02,2.27E-02,2.76E-01,2.36E-01,3.26E-01
765.601,2.07E-01,8.32E-01,3.11E-01,5.16E-02,2.73E-02,2.40E-02,2.87E-01,2.49E-01,3.43E-01
766.566,2.17E-01,8.56E-01,3.26E-01,5.50E-02,2.84E-02,2.56E-02,3.00E-01,2.64E-01,3.61E-01
767.53,2.29E-01,8.84E-01,3.45E-01,5.94E-02,3.04E-02,2.78E-02,3.16E-01,2.81E-01,3.84E-01
768.494,2.45E-01,9.16E-01,3.67E-01,6.49E-02,3.32E-02,3.09E-02,3.35E-01,3.02E-01,4.12E-01
769.458,2.64E-01,9.53E-01,3.94E-01,7.15E-02,3.67E-02,3.50E-02,3.58E-01,3.26E-01,4.45E-01
770.422,2.87E-01,9.94E-01,4.25E-01,7.95E-02,4.10E-02,4.01E-02,3.87E-01,3.54E-01,4.84E-01
771.387,3.14E-01,1.04E+00,4.61E-01,8.88E-02,4.61E-02,4.63E-02,4.21E-01,3.86E-01,5.30E-01
772.351,3.46E-01,1.09E+00,5.01E-01,9.94E-02,5.19E-02,5.34E-02,4.61E-01,4.23E-01,5.82E-01
773.315,3.81E-01,1.14E+00,5.45E-01,1.11E-01,5.84E-02,6.13E-02,5.05E-01,4.64E-01,6.39E-01
774.28,4.18E-01,1.18E+00,5.90E-01,1.24E-01,6.54E-02,6.96E-02,5.51E-01,5.08E-01,6.98E-01
775.244,4.56E-01,1.23E+00,6.33E-01,1.36E-01,7.22E-02,7.78E-02,5.97E-01,5.51E-01,7.57E-01
776.208,4.91E-01,1.27E+00,6.72E-01,1.47E-01,7.83E-02,8.50E-02,6.38E-01,5.91E-01,8.11E-01
777.172,5.19E-01,1.29E+00,7.02E-01,1.55E-01,8.26E-02,9.04E-02,6.70E-01,6.22E-01,8.53E-01
778.136,5.37E-01,1.30E+00,7.19E-01,1.60E-01,8.44E-02,9.30E-02,6.89E-01,6.41E-01,8.80E-01
779.101,5.43E-01,1.30E+00,7.22E-01,1.59E-01,8.31E-02,9.22E-02,6.91E-01,6.45E-01,8.86E-01
780.065,5.34E-01,1.28E+00,7.10E-01,1.54E-01,7.87E-02,8.78E-02,6.77E-01,6.32E-01,8.69E-01
781.029,5.12E-01,1.24E+00,6.84E-01,1.45E-01,7.14E-02,8.00E-02,6.47E-01,6.03E-01,8.32E-01
781.993,4.79E-01,1.20E+00,6.46E-01,1.32E-01,6.21E-02,6.95E-02,6.04E-01,5.59E-01,7.77E-01
782.958,4.38E-01,1.15E+00,6.01E-01,1.18E-01,5.14E-02,5.72E-02,5.52E-01,5.06E-01,7.09E-01
783.922,3.93E-01,1.09E+00,5.53E-01,1.04E-01,4.04E-02,4.42E-02,4.95E-01,4.48E-01,6.34E-01
784.886,3.47E-01,1.05E+00,5.05E-01,9.17E-02,2.99E-02,3.14E-02,4.40E-01,3.89E-01,5.58E-01
785.85,3.04E-01,1.00E+00,4.61E-01,8.13E-02,2.04E-02,2.00E-02,3.88E-01,3.34E-01,4.86E-01
786.814,2.66E-01,9.73E-01,4.24E-01,7.40E-02,1.24E-02,1.06E-02,3.42E-01,2.86E-01,4.23E-01
787.779,2.34E-01,9.52E-01,3.95E-01,7.03E-02,6.23E-03,4.00E-03,3.05E-01,2.46E-01,3.70E-01
788.743,2.10E-01,9.42E-01,3.75E-01,7.02E-02,2.08E-03,4.29E-04,2.77E-01,2.15E-01,3.28E-01
789.707,1.92E-01,9.42E-01,3.63E-01,7.36E-02,-1.67E-11,-1.00E-14,2.58E-01,1.93E-01,2.98E-01
790.671,1.80E-01,9.51E-01,3.60E-01,8.04E-02,1.62E-11,2.56E-03,2.45E-01,1.78E-01,2.77E-01
791.636,1.73E-01,9.67E-01,3.63E-01,8.99E-02,2.05E-03,7.76E-03,2.39E-01,1.71E-01,2.64E-01
792.6,1.69E-01,9.86E-01,3.71E-01,1.01E-01,5.97E-03,1.51E-02,2.37E-01,1.68E-01,2.56E-01
793.564,1.69E-01,1.01E+00,3.81E-01,1.14E-01,1.15E-02,2.40E-02,2.38E-01,1.69E-01,2.53E-01
794.528,1.69E-01,1.02E+00,3.92E-01,1.27E-01,1.82E-02,3.38E-02,2.41E-01,1.72E-01,2.52E-01
795.493,1.70E-01,1.04E+00,4.02E-01,1.39E-01,2.56E-02,4.40E-02,2.44E-01,1.76E-01,2.51E-01
796.457,1.71E-01,1.04E+00,4.10E-01,1.50E-01,3.31E-02,5.40E-02,2.47E-01,1.80E-01,2.49E-01
797.421,1.71E-01,1.04E+00,4.13E-01,1.57E-01,4.01E-02,6.33E-02,2.48E-01,1.83E-01,2.45E-01
798.385,1.70E-01,1.02E+00,4.10E-01,1.62E-01,4.61E-02,7.12E-02,2.46E-01,1.84E-01,2.38E-01
799.35,1.68E-01,9.86E-01,4.01E-01,1.62E-01,5.04E-02,7.73E-02,2.41E-01,1.81E-01,2.28E-01
800.314,1.64E-01,9.39E-01,3.85E-01,1.58E-01,5.28E-02,8.10E-02,2.33E-01,1.76E-01,2.14E-01
801.278,1.58E-01,8.78E-01,3.61E-01,1.50E-01,5.31E-02,8.20E-02,2.20E-01,1.67E-01,1.97E-01
802.242,1.51E-01,8.05E-01,3.31E-01,1.38E-01,5.17E-02,8.03E-02,2.04E-01,1.55E-01,1.78E-01
803.206,1.42E-01,7.23E-01,2.97E-01,1.23E-01,4.89E-02,7.60E-02,1.86E-01,1.41E-01,1.56E-01
804.171,1.32E-01,6.37E-01,2.59E-01,1.06E-01,4.52E-02,6.97E-02,1.66E-01,1.26E-01,1.35E-01
805.135,1.22E-01,5.49E-01,2.21E-01,8.75E-02,4.12E-02,6.20E-02,1.46E-01,1.11E-01,1.13E-01
806.099,1.12E-01,4.64E-01,1.83E-01,6.97E-02,3.72E-02,5.37E-02,1.26E-01,9.61E-02,9.25E-02
807.063,1.03E-01,3.85E-01,1.48E-01,5.31E-02,3.35E-02,4.55E-02,1.09E-01,8.23E-02,7.37E-02
808.028,9.46E-02,3.13E-01,1.16E-01,3.85E-02,3.03E-02,3.80E-02,9.34E-02,7.00E-02,5.70E-02
